¿¬µµ,³¯Â¥,ÁöÁ¡,±â»óÇö»ó,ÀÏ ÃÖ½É½ÅÀû¼³(cm)
2017,112,¼­¿ï,´«,0.1
2017,113,¼­¿ï,´«,1.5
2017,118,¼­¿ï,´«,-
2017,120,¼­¿ï,´«,6.6
2017,121,¼­¿ï,´«,3.2
2017,122,¼­¿ï,´«,0
2017,129,¼­¿ï,´«  Áø´«±úºñ,2.1
2017,130,¼­¿ï,´«,0.1
2017,205,¼­¿ï,´«  Áø´«±úºñ,-
2017,219,¼­¿ï,´«,-
2017,222,¼­¿ï,´«  Áø´«±úºñ,-
2017,307,¼­¿ï,´«,-
2017,308,¼­¿ï,´«,-
2017,1117,¼­¿ï,´«  Áø´«±úºñ,-
2017,1120,¼­¿ï,´«,-
2017,1123,¼­¿ï,´«,1.5
2017,1124,¼­¿ï,´«,-
2017,1125,¼­¿ï,´«  Áø´«±úºñ,-
2017,1201,¼­¿ï,´«,-
2017,1205,¼­¿ï,´«,0.1
2017,1206,¼­¿ï,´«  Áø´«±úºñ,1
2017,1210,¼­¿ï,´«  Áø´«±úºñ,4.3
2017,1215,¼­¿ï,´«,-
2017,1218,¼­¿ï,´«,5.1
2017,1220,¼­¿ï,´«,0.8
2017,1228,¼­¿ï,´«,-
2017,1229,¼­¿ï,´«,-
2017,1230,¼­¿ï,´«  Áø´«±úºñ,0.2
2017,1231,¼­¿ï,´«,1
2018,108,¼­¿ï,´«,1
2018,109,¼­¿ï,´«,0.5
2018,110,¼­¿ï,´«,0.3
2018,112,¼­¿ï,´«,-
2018,113,¼­¿ï,´«,0.6
2018,118,¼­¿ï,Áø´«±úºñ,-
2018,122,¼­¿ï,´«  Áø´«±úºñ,1
2018,130,¼­¿ï,´«,3.5
2018,131,¼­¿ï,´«,-
2018,203,¼­¿ï,´«,0.3
2018,211,¼­¿ï,´«,-
2018,212,¼­¿ï,´«,-
2018,222,¼­¿ï,´«  ¼Ò³«´«,0.4
2018,223,¼­¿ï,´«,3.7
2018,228,¼­¿ï,Áø´«±úºñ,-
2018,301,¼­¿ï,Áø´«±úºñ,-
2018,321,¼­¿ï,´«  Áø´«±úºñ,-
2018,407,¼­¿ï,´«  Áø´«±úºñ,-
2018,1124,¼­¿ï,´«  Áø´«±úºñ,8.8
2018,1129,¼­¿ï,´«,-
2018,1206,¼­¿ï,´«,-
2018,1213,¼­¿ï,´«,1.7
2018,1216,¼­¿ï,´«  ½Î¶ô´«,0.4
2018,1217,¼­¿ï,½Î¶ô´«,-
2019,115,¼­¿ï,´«,-
2019,116,¼­¿ï,´«,-
2019,117,¼­¿ï,´«,-
2019,121,¼­¿ï,´«,-
2019,201,¼­¿ï,´«,0.2
2019,203,¼­¿ï,Áø´«±úºñ,-
2019,207,¼­¿ï,´«  Áø´«±úºñ,0
2019,212,¼­¿ï,´«,-
2019,215,¼­¿ï,´«,2.4
2019,216,¼­¿ï,´«,0.3
2019,219,¼­¿ï,´«  Áø´«±úºñ,3.3
2019,220,¼­¿ï,´«,-
2019,313,¼­¿ï,´«,-
2019,315,¼­¿ï,Áø´«±úºñ,-
2019,323,¼­¿ï,´«  Áø´«±úºñ  ¼Ò³«´«,-
2019,1115,¼­¿ï,Áø´«±úºñ,-
2019,1118,¼­¿ï,´«,-
2019,1119,¼­¿ï,´«,-
2019,1207,¼­¿ï,´«,0
2019,1219,¼­¿ï,´«,-
2019,1220,¼­¿ï,´«,-
2019,1221,¼­¿ï,´«,-
2019,1230,¼­¿ï,´«,-
2019,1231,¼­¿ï,´«,-
