날짜,사고건수,사망자수,중상자수,경상자수,부상신고자수,날씨
2017-01-01,73,2,25,90,10,-{연무}-0120. {연무}1113-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도1}1800-{연무}{강도1}2100-{연무}{강도1}2400- {박무}0115-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-1120.
2017-01-02,82,4,27,92,17,-{연무}-{연무}{강도1}0300-0412. {연무}1153-{연무}{강도0}1200-{연무}{강도1}1500-{연무}{강도1}1800-1930. {박무}0410-{박무}{강도2}0600-{박무}{강도1}0900-1158. {박무}1926-{박무}{강도2}2100-{박무}{강도1}2400- {비}0410-0550. {비}0725-0750.
2017-01-03,88,1,25,80,13,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-0615. {연무}0610-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-1610.
2017-01-04,115,1,39,99,25,{박무}0804-{박무}{강도0}0900-0936. {연무}0933-{연무}{강도0}1200-1430.
2017-01-05,103,1,34,111,8,맑음
2017-01-06,96,2,38,89,6,맑음
2017-01-07,103,0,35,119,15,{연무}0046-{연무}{강도0}0300-0320. {연무}1016-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-1850. {연무}1920-{연무}{강도0}2100-{연무}{강도0}2400- {박무}0314-{박무}{강도0}0600-{박무}{강도0}0900-1020.
2017-01-08,72,1,29,70,14,-{연무}-0008. {비}1515-1545. {비}1925-1950. {비}2130-2250. {박무}2212-{박무}{강도0}2400-
2017-01-09,95,0,33,67,8,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-0935. {비}0205-0220. {비}0350-0445. {연무}0928-{연무}{강도0}1200-{연무}{강도0}1500-1735. {연무}2053-{연무}{강도0}2100-2303. {연무}2341-{연무}{강도0}2400-
2017-01-10,104,1,30,104,10,-{연무}-0007.
2017-01-11,123,0,50,120,17,맑음
2017-01-12,113,1,34,118,11,{눈}0040-0220.
2017-01-13,117,2,36,119,16,{눈}0820-{눈}{강도0}0900-1145.
2017-01-14,112,0,34,130,15,맑음
2017-01-15,106,1,36,118,18,맑음
2017-01-16,131,3,50,115,18,맑음
2017-01-17,95,1,35,72,8,{연무}2040-{연무}{강도0}2100-2220. {연무}2355-{연무}{강도0}2400-
2017-01-18,118,1,27,111,17,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도1}1500-{연무}{강도1}1800-{연무}{강도0}2100-{연무}{강도1}2400- {눈}1225-1315.
2017-01-19,91,1,26,86,14,-{연무}-{연무}{강도1}0300-0330. {연무}0922-{연무}{강도0}1200-{연무}{강도0}1500-1740. {연무}1834-{연무}{강도0}2100-{연무}{강도0}2400- {박무}0327-{박무}{강도0}0600-{박무}{강도1}0900-0925.
2017-01-20,75,2,23,64,7,-{연무}-0150. {연무}0209-{연무}{강도1}0300-0303. {연무}1040-{연무}{강도0}1200-1355. {박무}0301-{박무}{강도2}0600-{박무}{강도1}0900-1045. {눈}0210-{눈}{강도0}0300-{눈}{강도1}0600-0855.
2017-01-21,105,1,33,124,12,{박무}0554-{박무}{강도0}0600-{박무}{강도0}0900-0935. {박무}1850-2015. {연무}0931-{연무}{강도0}1200-1220. {눈}0845-{눈}{강도0}0900-0915. {눈}1125-1158. {눈}1415-{눈}{강도0}1500-{시정(미만)}{1km}{눈}1715-{시정(이상)}{1km}{눈}1724-{눈}{강도0}1800-1845. {눈}1945-1958. {눈}2303-{시정(미만)}{1km}{눈}2333-{시정(미만)}{0.5km}{눈}2336-{시정(이상)}{0.5km}{눈}2345-{시정(이상)}{1km}{눈}2351-{눈}{강도0}2400-
2017-01-22,83,2,30,96,11,-{눈}-0025. {연무}2255-{연무}{강도0}2400-
2017-01-23,144,0,38,158,20,-{연무}-0255. {연무}0347-0455.
2017-01-24,174,0,53,173,26,맑음
2017-01-25,175,2,59,169,17,{연무}0857-{연무}{강도0}0900-1032.
2017-01-26,147,1,58,138,26,{연무}1017-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-2329. {비}2310-{비}{강도0}2400- {박무}2319-{박무}{강도1}2400-
2017-01-27,69,1,22,73,5,-{비}-0140. -{박무}-{박무}{강도0}0300-0331. {황사}0525-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1355.
2017-01-28,51,0,19,69,13,맑음
2017-01-29,53,0,16,84,17,{눈}0405-0417. {눈}1015-{진눈깨비}1110-{눈}1150-{눈}{강도0}1200-{진눈깨비}1240-{눈}1440-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-2315. {박무}2320-{박무}{강도0}2400-
2017-01-30,67,1,20,82,7,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-0856. {눈}0015-0150.
2017-01-31,86,0,34,74,9,맑음
2017-02-01,71,1,19,73,4,맑음
2017-02-02,84,1,26,78,9,맑음
