"자치구별(1)",자치구별(2),2017,2018,2019
"자치구별(1)",자치구별(2),가로등,가로등,가로등
"자치구별(1)",자치구별(2),개소 (개소),개소 (개소),개소 (개소)
"합계",소계,272031,273594,269430
"합계",안전총괄실,36875,35893,29020
"합계",동부도로사업소,9206,9209,9274
"합계",서부도로사업소,10935,9608,8819
"합계",남부도로사업소,7529,7428,8240
"합계",북부도로사업소,6348,6881,6855
"합계",성동도로사업소,4845,4837,4875
"합계",강서도로사업소,10507,10507,9696
"합계",종로구,8986,9220,9265
"합계",중구,8641,8694,8665
"합계",용산구,7291,7248,7637
"합계",성동구,5662,5780,6050
"합계",광진구,4852,4774,4616
"합계",동대문구,8096,8149,8211
"합계",중랑구,5698,5729,5731
"합계",성북구,5373,5301,5584
"합계",강북구,4445,4525,4339
"합계",도봉구,4464,4471,4556
"합계",노원구,9308,9270,9510
"합계",은평구,6554,6428,6369
"합계",서대문구,5848,6075,6075
"합계",마포구,7941,8177,8313
"합계",양천구,7198,7833,7970
"합계",강서구,6691,6682,8919
"합계",구로구,7413,7490,7529
"합계",금천구,5369,5294,5496
"합계",영등포구,9209,9500,9278
"합계",동작구,5483,5568,5656
"합계",관악구,4895,4894,5304
"합계",서초구,11699,12691,12793
"합계",강남구,14193,14193,13788
"합계",송파구,12586,13263,13520
"합계",강동구,7891,7982,7477
