연월,종가,대비,등락률,종가기준_최고,종가기준_최저,장중기준_최고,장중기준_최저,거래량,거래대금,시가총액
"2022/12","2236.40","-236.13","-9.55","2479.84","2236.40","2501.43","2236.38","8436757.0","139562119559867","1767235220931085"
"2022/11","2472.53","178.92","7.80","2483.16","2329.17","2499.43","2296.44","1.2748765E7","192361101639689","1953840810263050"
"2022/10","2293.61","138.12","6.41","2293.61","2162.87","2295.51","2162.87","1.1774297E7","144142019050052","1810255609225880"
"2022/09","2155.49","-316.56","-12.81","2449.54","2155.49","2453.95","2134.77","9375488.0","153912993027878","1698450563093902"
"2022/08","2472.05","20.55","0.84","2533.52","2426.89","2546.35","2417.01","9767926.0","171364869529100","1948130001179758"
"2022/07","2451.50","118.86","5.10","2451.50","2292.01","2463.05","2276.63","7955652.0","152171652837145","1931903737357025"
"2022/06","2332.64","-353.26","-13.15","2670.65","2314.32","2681.51","2306.48","1.2014671E7","178183604486312","1835493487294140"
"2022/05","2685.90","-9.15","-0.34","2687.45","2550.08","2702.10","2546.80","1.6868004E7","200736287525372","2113784328537123"
"2022/04","2695.05","-62.60","-2.27","2759.20","2639.06","2769.18","2615.50","2.2025888E7","228200608248708","2119864985287662"
"2022/03","2757.65","58.47","2.17","2757.65","2621.53","2765.20","2605.81","1.4407387E7","232672615186936","2164962823835125"
"2022/02","2699.18","35.84","1.35","2771.93","2648.80","2788.27","2642.63","1.0117938E7","197103451689284","2120187753790735"
"2022/01","2663.34","-314.31","-10.56","2989.24","2614.49","3010.77","2591.53","1.0925621E7","225654507004226","2094859102056597"
"2021/12","2977.65","138.64","4.88","3029.57","2899.72","3043.83","2837.03","1.0665615E7","218230075903478","2203366545861792"
"2021/11","2839.01","-131.67","-4.43","3013.49","2839.01","3034.30","2822.73","1.3789073E7","257791288033753","2095821072303233"
"2021/10","2970.68","-98.14","-3.20","3049.08","2908.31","3062.60","2901.51","1.3911735E7","223322464627420","2159375927406380"
"2021/09","3068.82","-130.45","-4.08","3207.02","3060.27","3215.13","3030.60","1.4269522E7","267165925096436","2231957338378780"
"2021/08","3199.27","-3.05","-0.10","3280.38","3060.51","3296.17","3049.03","1.380093E7","325958243309333","2309062612929983"
"2021/07","3202.32","-94.36","-2.86","3305.21","3202.32","3313.51","3188.80","2.2117057E7","303914648353449","2252545492371046"
"2021/06","3296.68","92.76","2.90","3302.84","3216.18","3316.08","3199.18","3.5354543E7","372849547291013","2307579219297640"
"2021/05","3203.92","56.06","1.78","3249.30","3122.11","3255.90","3103.88","1.8790315E7","303551521072474","2240204442357739"
"2021/04","3147.86","86.44","2.82","3220.70","3087.40","3223.05","3069.68","3.1066512E7","346210093030532","2196644814285860"
"2021/03","3061.42","48.47","1.61","3082.99","2958.12","3096.50","2929.36","2.7901981E7","332939741955478","2133373184071420"
"2021/02","3012.95","36.74","1.23","3163.25","2994.98","3180.94","2947.24","3.0029597E7","343717593913148","2079822287070835"
"2021/01","2976.21","102.74","3.58","3208.99","2944.45","3266.23","2869.11","2.6093976E7","529556443855129","2051302353271175"
"2020/12","2873.47","282.13","10.89","2873.47","2634.25","2878.21","2611.67","2.4561049E7","382179110336079","1980543161609061"
"2020/11","2591.34","324.19","14.30","2633.45","2300.16","2648.66","2267.95","2.4377965E7","320234746625694","1779635399547144"
"2020/10","2267.15","-60.74","-2.61","2403.73","2267.15","2418.89","2266.93","1.5705577E7","206093511870849","1553004436321479"
"2020/09","2327.89","1.72","0.07","2443.58","2272.70","2450.53","2267.63","1.9606897E7","298108591925249","1584465079441896"
"2020/08","2326.17","76.80","3.41","2437.53","2251.04","2458.17","2237.04","1.7643124E7","323948886478601","1581099787409825"
"2020/07","2249.37","141.04","6.69","2267.01","2106.70","2281.41","2101.33","1.8866787E7","299769080813492","1526798727989548"
"2020/06","2108.33","78.73","3.88","2195.69","2030.82","2217.21","2030.82","1.9863704E7","287641978232641","1418860741475329"
"2020/05","2029.60","82.04","4.21","2031.20","1895.37","2054.52","1894.29","1.6206497E7","189189354133355","1363450451367235"
"2020/04","1947.56","192.92","10.99","1947.56","1685.46","1957.51","1664.13","2.1045121E7","216059109848675","1309179248330950"
"2020/03","1754.64","-232.37","-11.69","2085.26","1457.64","2089.08","1439.43","1.7091025E7","222127870189961","1179728722560726"
"2020/02","1987.01","-132.00","-6.23","2243.59","1987.01","2255.49","1980.82","1.3959767E7","151657715900309","1337716963290314"
"2020/01","2119.01","-78.66","-3.58","2267.25","2119.01","2277.23","2119.01","1.3096066E7","128693460715104","1427047754939819"
"2019/12","2197.67","109.71","5.25","2204.21","2060.74","2215.55","2053.56","1.0188753E7","101309950343468","1475909365805673"
"2019/11","2087.96","4.48","0.22","2162.18","2087.96","2165.89","2081.53","1.0737647E7","111659054443338","1401938201845642"
"2019/10","2083.48","20.43","0.99","2093.60","2020.69","2105.17","2010.90","8884392.0","92843022831373","1397134899920708"
"2019/09","2063.05","95.26","4.84","2101.04","1965.69","2101.63","1958.59","8620783.0","85892320226698","1379383990482194"
"2019/08","1967.79","-56.76","-2.80","2017.34","1909.71","2032.23","1891.81","1.0472131E7","97918870807694","1313598665258278"
"2019/07","2024.55","-106.07","-4.98","2129.74","2024.55","2147.24","2010.95","1.1908954E7","101867676834517","1349751511726427"
"2019/06","2130.62","88.88","4.35","2134.32","2066.97","2141.27","2029.17","1.1256687E7","87408487947434","1419520754393242"
"2019/05","2041.74","-161.85","-7.34","2212.75","2023.32","2217.03","2016.25","1.1242892E7","113039830447747","1358693515769970"
"2019/04","2203.59","62.92","2.94","2248.63","2168.28","2252.05","2153.31","9689748.0","118322428675742","1461526970030485"
"2019/03","2140.67","-54.77","-2.49","2190.66","2128.10","2216.02","2120.93","6458056.0","98439945182435","1417246090700786"
"2019/02","2195.44","-9.41","-0.43","2234.79","2177.05","2241.76","2167.36","6882554.0","95521375673537","1448767023638722"
"2019/01","2204.85","163.81","8.03","2206.20","1993.70","2222.88","1984.53","9455197.0","123269550926257","1455505296056499"
