음식료품_negative,음식료품_positive,음식료품_negative_rate,음식료품_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,섬유의복_negative,섬유의복_positive,섬유의복_negative_rate,섬유의복_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,화학_negative,화학_positive,화학_negative_rate,화학_positive_rate,의약품_negative,의약품_positive,의약품_negative_rate,의약품_positive_rate,비금속광물_negative,비금속광물_positive,비금속광물_negative_rate,비금속광물_positive_rate,철강금속_negative,철강금속_positive,철강금속_negative_rate,철강금속_positive_rate,기계_negative,기계_positive,기계_negative_rate,기계_positive_rate,전기전자_negative,전기전자_positive,전기전자_negative_rate,전기전자_positive_rate,의료정밀_negative,의료정밀_positive,의료정밀_negative_rate,의료정밀_positive_rate,운수장비_negative,운수장비_positive,운수장비_negative_rate,운수장비_positive_rate,유통업_negative,유통업_positive,유통업_negative_rate,유통업_positive_rate,전기가스업_negative,전기가스업_positive,전기가스업_negative_rate,전기가스업_positive_rate,건설업_negative,건설업_positive,건설업_negative_rate,건설업_positive_rate,운수창고_negative,운수창고_positive,운수창고_negative_rate,운수창고_positive_rate,통신업_negative,통신업_positive,통신업_negative_rate,통신업_positive_rate,금융업_negative,금융업_positive,금융업_negative_rate,금융업_positive_rate,은행_negative,은행_positive,은행_negative_rate,은행_positive_rate,증권_negative,증권_positive,증권_negative_rate,증권_positive_rate,보험_negative,보험_positive,보험_negative_rate,보험_positive_rate,서비스업_negative,서비스업_positive,서비스업_negative_rate,서비스업_positive_rate
3,0,1.0,0.0,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0,3,0.0,1.0,2,4,0.3333333333333333,0.6666666666666666,0,2,0.0,1.0,3,0,1.0,0.0,5,2,0.7142857142857143,0.2857142857142857,4,7,0.36363636363636365,0.6363636363636364,2,2,0.5,0.5,1,1,0.5,0.5,1,2,0.3333333333333333,0.6666666666666666,2,1,0.6666666666666666,0.3333333333333333,1,1,0.5,0.5,1,1,0.5,0.5,4,1,0.8,0.2,2,3,0.4,0.6,1,1,0.5,0.5,0,1,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0,17,0.0,1.0,1,0,1.0,0.0
2,5,0.2857142857142857,0.7142857142857143,0,7,0.0,1.0,3,11,0.21428571428571427,0.7857142857142857,0,7,0.0,1.0,0,9,0.0,1.0,0,3,0.0,1.0,2,4,0.3333333333333333,0.6666666666666666,3,12,0.2,0.8,8,6,0.5714285714285714,0.42857142857142855,4,8,0.3333333333333333,0.6666666666666666,1,8,0.1111111111111111,0.8888888888888888,3,2,0.6,0.4,1,3,0.25,0.75,3,9,0.25,0.75,0,4,0.0,1.0,1,10,0.09090909090909091,0.9090909090909091,0,6,0.0,1.0,2,7,0.2222222222222222,0.7777777777777778,0,2,0.0,1.0,0,4,0.0,1.0,0,25,0.0,1.0,0,0,,
1,7,0.125,0.875,2,5,0.2857142857142857,0.7142857142857143,8,8,0.5,0.5,2,5,0.2857142857142857,0.7142857142857143,1,3,0.25,0.75,1,0,1.0,0.0,3,2,0.6,0.4,10,7,0.5882352941176471,0.4117647058823529,1,4,0.2,0.8,3,7,0.3,0.7,3,3,0.5,0.5,5,7,0.4166666666666667,0.5833333333333334,1,4,0.2,0.8,5,11,0.3125,0.6875,0,5,0.0,1.0,3,2,0.6,0.4,3,8,0.2727272727272727,0.7272727272727273,1,5,0.16666666666666666,0.8333333333333334,0,3,0.0,1.0,0,1,0.0,1.0,1,7,0.125,0.875,1,0,1.0,0.0
0,14,0.0,1.0,2,6,0.25,0.75,3,12,0.2,0.8,2,6,0.25,0.75,4,13,0.23529411764705882,0.7647058823529411,0,1,0.0,1.0,2,13,0.13333333333333333,0.8666666666666667,2,18,0.1,0.9,1,2,0.3333333333333333,0.6666666666666666,4,1,0.8,0.2,0,7,0.0,1.0,0,4,0.0,1.0,1,1,0.5,0.5,1,14,0.06666666666666667,0.9333333333333333,0,2,0.0,1.0,1,9,0.1,0.9,0,10,0.0,1.0,0,5,0.0,1.0,1,3,0.25,0.75,0,0,,,0,14,0.0,1.0,0,4,0.0,1.0
4,4,0.5,0.5,3,3,0.5,0.5,3,0,1.0,0.0,3,3,0.5,0.5,0,6,0.0,1.0,1,3,0.25,0.75,4,1,0.8,0.2,5,5,0.5,0.5,1,2,0.3333333333333333,0.6666666666666666,3,4,0.42857142857142855,0.5714285714285714,4,4,0.5,0.5,4,3,0.5714285714285714,0.42857142857142855,0,3,0.0,1.0,3,4,0.42857142857142855,0.5714285714285714,1,1,0.5,0.5,2,4,0.3333333333333333,0.6666666666666666,3,5,0.375,0.625,0,3,0.0,1.0,0,4,0.0,1.0,0,1,0.0,1.0,0,17,0.0,1.0,0,2,0.0,1.0
1,4,0.2,0.8,1,6,0.14285714285714285,0.8571428571428571,0,2,0.0,1.0,1,6,0.14285714285714285,0.8571428571428571,1,4,0.2,0.8,0,1,0.0,1.0,0,11,0.0,1.0,2,5,0.2857142857142857,0.7142857142857143,3,0,1.0,0.0,4,8,0.3333333333333333,0.6666666666666666,2,3,0.4,0.6,3,7,0.3,0.7,0,0,,,0,3,0.0,1.0,0,1,0.0,1.0,1,4,0.2,0.8,1,8,0.1111111111111111,0.8888888888888888,0,2,0.0,1.0,0,0,,,1,3,0.25,0.75,0,13,0.0,1.0,2,1,0.6666666666666666,0.3333333333333333
4,0,1.0,0.0,3,2,0.6,0.4,3,3,0.5,0.5,3,2,0.6,0.4,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,6,0,1.0,0.0,4,2,0.6666666666666666,0.3333333333333333,0,5,0.0,1.0,4,4,0.5,0.5,1,1,0.5,0.5,4,3,0.5714285714285714,0.42857142857142855,2,0,1.0,0.0,3,0,1.0,0.0,2,2,0.5,0.5,1,0,1.0,0.0,6,3,0.6666666666666666,0.3333333333333333,1,2,0.3333333333333333,0.6666666666666666,0,3,0.0,1.0,0,1,0.0,1.0,0,22,0.0,1.0,0,2,0.0,1.0
0,6,0.0,1.0,2,8,0.2,0.8,0,3,0.0,1.0,2,8,0.2,0.8,1,4,0.2,0.8,0,2,0.0,1.0,1,7,0.125,0.875,4,5,0.4444444444444444,0.5555555555555556,2,0,1.0,0.0,4,1,0.8,0.2,1,2,0.3333333333333333,0.6666666666666666,1,4,0.2,0.8,2,2,0.5,0.5,0,4,0.0,1.0,0,4,0.0,1.0,0,3,0.0,1.0,0,3,0.0,1.0,2,3,0.4,0.6,0,3,0.0,1.0,1,8,0.1111111111111111,0.8888888888888888,0,29,0.0,1.0,0,0,,
1,6,0.14285714285714285,0.8571428571428571,0,4,0.0,1.0,0,3,0.0,1.0,0,4,0.0,1.0,2,1,0.6666666666666666,0.3333333333333333,2,1,0.6666666666666666,0.3333333333333333,1,3,0.25,0.75,4,5,0.4444444444444444,0.5555555555555556,2,6,0.25,0.75,3,1,0.75,0.25,0,2,0.0,1.0,1,1,0.5,0.5,0,2,0.0,1.0,0,2,0.0,1.0,0,4,0.0,1.0,1,5,0.16666666666666666,0.8333333333333334,0,2,0.0,1.0,0,4,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,1,3,0.25,0.75,0,13,0.0,1.0,0,2,0.0,1.0
1,1,0.5,0.5,3,3,0.5,0.5,1,4,0.2,0.8,3,3,0.5,0.5,0,7,0.0,1.0,0,2,0.0,1.0,4,1,0.8,0.2,0,4,0.0,1.0,0,2,0.0,1.0,4,6,0.4,0.6,2,1,0.6666666666666666,0.3333333333333333,2,1,0.6666666666666666,0.3333333333333333,2,1,0.6666666666666666,0.3333333333333333,2,1,0.6666666666666666,0.3333333333333333,3,0,1.0,0.0,3,2,0.6,0.4,1,2,0.3333333333333333,0.6666666666666666,2,1,0.6666666666666666,0.3333333333333333,0,2,0.0,1.0,0,1,0.0,1.0,0,10,0.0,1.0,0,1,0.0,1.0
