Sex,Age,Port of Embarkation,Survived
Female,29.0,Southampton,Yes
Male,0.9,Southampton,Yes
Female,2.0,Southampton,No
Male,30.0,Southampton,No
Female,25.0,Southampton,No
Male,48.0,Southampton,Yes
Female,63.0,Southampton,Yes
Male,39.0,Southampton,No
Female,53.0,Southampton,Yes
Male,71.0,Cherbourg,No
Male,47.0,Cherbourg,No
Female,18.0,Cherbourg,Yes
Female,24.0,Cherbourg,Yes
Female,26.0,Southampton,Yes
Male,80.0,Southampton,Yes
Male,,Southampton,No
Male,24.0,Cherbourg,No
Female,50.0,Cherbourg,Yes
Female,32.0,Cherbourg,Yes
Male,36.0,Cherbourg,No
Male,37.0,Southampton,Yes
Female,47.0,Southampton,Yes
Male,26.0,Cherbourg,Yes
Female,42.0,Cherbourg,Yes
Female,29.0,Southampton,Yes
Male,25.0,Cherbourg,No
Male,25.0,Cherbourg,Yes
Female,19.0,Cherbourg,Yes
Female,35.0,Southampton,Yes
Male,28.0,Southampton,Yes
Male,45.0,Southampton,No
Male,40.0,Cherbourg,Yes
Female,30.0,Southampton,Yes
Female,58.0,Southampton,Yes
Male,42.0,Southampton,No
Female,45.0,Cherbourg,Yes
Female,22.0,Southampton,Yes
Male,,Southampton,Yes
Male,41.0,Southampton,No
Male,48.0,Cherbourg,No
Male,,Cherbourg,No
Female,44.0,Cherbourg,Yes
Female,59.0,Southampton,Yes
Female,60.0,Cherbourg,Yes
Female,41.0,Cherbourg,Yes
Male,45.0,Southampton,No
Male,,Southampton,No
Male,42.0,Southampton,Yes
Female,53.0,Cherbourg,Yes
Male,36.0,Cherbourg,Yes
Female,58.0,Cherbourg,Yes
Male,33.0,Southampton,No
Male,28.0,Southampton,No
Male,17.0,Southampton,No
Male,11.0,Southampton,Yes
Female,14.0,Southampton,Yes
Male,36.0,Southampton,Yes
Female,36.0,Southampton,Yes
Male,49.0,Southampton,No
Female,,Cherbourg,Yes
Male,36.0,Southampton,No
Female,76.0,Southampton,Yes
Male,46.0,Southampton,No
Female,47.0,Southampton,Yes
Male,27.0,Southampton,Yes
Female,33.0,Southampton,Yes
Female,36.0,Cherbourg,Yes
Female,30.0,Southampton,Yes
Male,45.0,Cherbourg,Yes
Female,,Southampton,Yes
Male,,Southampton,No
Male,27.0,Cherbourg,No
Female,26.0,Cherbourg,Yes
Female,22.0,Southampton,Yes
Male,,Southampton,No
Male,47.0,Southampton,No
Female,39.0,Cherbourg,Yes
Male,37.0,Cherbourg,No
Female,64.0,Cherbourg,Yes
Female,55.0,Southampton,Yes
Male,,Southampton,No
Male,70.0,Southampton,No
Female,36.0,Southampton,Yes
Female,64.0,Southampton,Yes
Male,39.0,Cherbourg,No
Female,38.0,Cherbourg,Yes
Male,51.0,Southampton,Yes
Male,27.0,Southampton,Yes
Female,33.0,Southampton,Yes
Male,31.0,Southampton,No
Female,27.0,Southampton,Yes
Male,31.0,Southampton,Yes
Female,17.0,Southampton,Yes
Male,53.0,Southampton,Yes
Male,4.0,Southampton,Yes
Female,54.0,Southampton,Yes
Male,50.0,Cherbourg,No
Female,27.0,Cherbourg,Yes
Female,48.0,Cherbourg,Yes
Female,48.0,Cherbourg,Yes
Male,49.0,Cherbourg,Yes
Male,39.0,Cherbourg,No
Female,23.0,Cherbourg,Yes
Female,38.0,Cherbourg,Yes
Female,54.0,Cherbourg,Yes
Female,36.0,Cherbourg,No
Male,,Southampton,No
Female,,Southampton,Yes
Female,,Cherbourg,Yes
Male,36.0,Southampton,Yes
Male,30.0,Cherbourg,No
Female,24.0,Southampton,Yes
Female,28.0,Southampton,Yes
Female,23.0,Southampton,Yes
Male,19.0,Southampton,No
Male,64.0,Southampton,No
Female,60.0,Southampton,Yes
Female,30.0,Cherbourg,Yes
Male,,Southampton,No
Male,50.0,Southampton,Yes
Male,43.0,Cherbourg,Yes
Female,,Southampton,Yes
Female,22.0,Cherbourg,Yes
Male,60.0,Cherbourg,Yes
Female,48.0,Cherbourg,Yes
Male,,Southampton,No
Male,37.0,Southampton,No
Female,35.0,Southampton,Yes
Male,47.0,Southampton,No
Female,35.0,Cherbourg,Yes
Female,22.0,Cherbourg,Yes
Female,45.0,Cherbourg,Yes
Male,24.0,Cherbourg,No
Male,49.0,Cherbourg,Yes
Female,,Cherbourg,Yes
Male,71.0,Cherbourg,No
Male,53.0,Cherbourg,Yes
Female,19.0,Southampton,Yes
Male,38.0,Southampton,No
Female,58.0,Southampton,Yes
Male,23.0,Cherbourg,Yes
Female,45.0,Cherbourg,Yes
Male,46.0,Cherbourg,No
Male,25.0,Cherbourg,Yes
Female,25.0,Cherbourg,Yes
Male,48.0,Cherbourg,Yes
Female,49.0,Cherbourg,Yes
Male,,Southampton,No
Male,45.0,Southampton,No
Female,35.0,Southampton,Yes
Male,40.0,Southampton,No
Male,27.0,Cherbourg,Yes
Male,,Southampton,Yes
Female,24.0,Cherbourg,Yes
Male,55.0,Southampton,No
Female,52.0,Southampton,Yes
Male,42.0,Southampton,No
Male,,Southampton,No
Male,55.0,Southampton,No
Female,16.0,Cherbourg,Yes
Female,44.0,Cherbourg,Yes
Female,51.0,Southampton,Yes
Male,42.0,Southampton,No
Female,35.0,Southampton,Yes
Male,35.0,Cherbourg,Yes
Male,38.0,Southampton,Yes
Male,,Cherbourg,No
Female,35.0,Southampton,Yes
Female,38.0,,Yes
Female,50.0,Cherbourg,No
Male,49.0,Southampton,Yes
Male,46.0,Southampton,No
Male,50.0,Southampton,No
Male,32.5,Cherbourg,No
Male,58.0,Cherbourg,No
Male,41.0,Southampton,No
Female,,Southampton,Yes
Male,42.0,Southampton,Yes
Female,45.0,Southampton,Yes
Male,,Southampton,No
Female,39.0,Southampton,Yes
Female,49.0,Southampton,Yes
Female,30.0,Cherbourg,Yes
Male,35.0,Cherbourg,Yes
Male,,Cherbourg,No
Male,42.0,Southampton,No
Female,55.0,Cherbourg,Yes
Female,16.0,Southampton,Yes
